qi,query,n_words,has_digit,has_at,has_color,has_quoted_or_acronym,has_identifier_noun,bucket,ceiling_rank,muvera_rank,rank_delta,ceiling_ok_muvera_lost
0,"Which category of apps enjoy the least percentage of popularity?",10,False,False,False,False,False,descriptive_general,1,3,2,True
1,"Who is the CEO of JP Morgan?",7,False,False,False,True,False,specific_entity_lookup,1,None,10,True
2,"What percent of recruiters make most of their hires through LinkedIn?",11,False,False,False,False,False,descriptive_general,1,1,0,False
3,"In 2010 , what percentage of recruitments used linkedin?",9,True,False,False,False,False,specific_entity_lookup,2,2,0,False
4,"Which social media platform has the least number of active users?",11,False,False,False,False,False,descriptive_general,1,1,0,False
5,"Who founded Facebook?",3,False,False,False,False,False,descriptive_general,1,1,0,False
6,"What percentage of parents want to receive text messages from there child teacher?",13,False,False,False,False,False,descriptive_general,1,1,0,False
7,"which social media platform is the most common among health organizations?",11,False,False,False,False,False,descriptive_general,1,2,1,True
8,"Which is the second most popular social media job title according to the pie chart?",15,False,False,False,False,False,descriptive_general,1,1,0,False
9,"How many social media holidays are there in the month of January?",12,False,False,False,False,False,descriptive_general,1,1,0,False
10,"Which Nonprofit issue is most talked about in Twitter?",9,False,False,False,False,False,descriptive_general,1,1,0,False
11,"Which social media referred more business than LinkedIn, YouTube, and Google +?",12,False,False,False,False,False,descriptive_general,2,None,9,False
12,"What percentage of companies do not use two or more networks to connect with prospective employees?",16,False,False,False,False,False,descriptive_general,1,1,0,False
13,"how many infrastructure in this diagram are new?",8,False,False,False,False,False,descriptive_general,1,1,0,False
14,"What is the microblog market share of Sina Weibo?",9,False,False,False,False,False,descriptive_general,1,1,0,False
15,"what is the chance of most people being convinced to buy a product/service after watching the video - likely to buy or unlikely to buy?",25,False,False,False,False,False,descriptive_general,1,1,0,False
16,"Which company collects only phone number, email address and location (time zone)?",12,False,False,False,False,True,specific_entity_lookup,1,1,0,False
17,"Through how many ways GERD can diagnose other than Endoscopy?",10,False,False,False,True,False,specific_entity_lookup,1,1,0,False
18,"Which money management app is common to both iPhone and Android?",11,False,False,False,False,False,descriptive_general,1,1,0,False
19,"How many daily average trips were completed by Uber as on Dec. 2015?",13,True,False,False,False,False,specific_entity_lookup,1,1,0,False
20,"Which is the biggest word in the infographic?",8,False,False,False,False,False,descriptive_general,None,None,0,False
21,"What is the news agency of Turkey?",7,False,False,False,False,False,descriptive_general,1,1,0,False
22,"how many ships do MSC cruises have?",7,False,False,False,True,False,specific_entity_lookup,1,1,0,False
23,"What percent of large business organizations were implementing or maintaining cloud computing as per the CDW 2011 Cloud Computing Tracking Poll?",21,True,False,False,True,False,specific_entity_lookup,1,1,0,False
24,"What was the number of deaths on April 17?",9,True,False,False,False,False,specific_entity_lookup,1,1,0,False
25,"What percent of Irish citizens are concerned about water pollution?",10,False,False,False,False,False,descriptive_general,1,1,0,False
26,"What is the value of High-Density Lipoproteins listed in the infographic?",11,False,False,False,False,False,descriptive_general,None,None,0,False
27,"which state has the highest population - Northern Ireland or Wales?",11,False,False,False,False,False,descriptive_general,1,1,0,False
28,"What percent of homes have equity below $200,000?",8,True,False,False,False,False,specific_entity_lookup,1,1,0,False
29,"How much oil is spilled into the ocean every year?",10,False,False,False,False,False,descriptive_general,1,1,0,False
30,"Which country has the highest carbon footprint in Asia?",9,False,False,False,False,False,descriptive_general,1,1,0,False
31,"What percent of cricket fans in UAE do not watch cricket on mobile?",13,False,False,False,True,False,specific_entity_lookup,1,1,0,False
32,"What is the most preferred type of food of Francois du Plessis?",12,False,False,False,False,False,descriptive_general,1,1,0,False
33,"What percent of internet users use  LinkedIn?",7,False,False,False,False,False,descriptive_general,1,1,0,False
34,"Tamim Iqbal represents which country",5,False,False,False,False,False,descriptive_general,1,1,0,False
35,"Which is the second major sector of AI in healthcare?",10,False,False,False,True,False,specific_entity_lookup,1,1,0,False
36,"With whom has OPI partnered with",6,False,False,False,True,False,specific_entity_lookup,1,1,0,False
37,"In which locations in Srilanka will the matches be held",10,False,False,False,False,False,descriptive_general,1,1,0,False
38,"How many years after his first run did DHoni complete 1000 runs",12,True,False,False,False,False,specific_entity_lookup,1,1,0,False
39,"What is the full form of BCCI",7,False,False,False,True,False,specific_entity_lookup,None,6,-5,False
40,"What does the regional cold stores use HCMIS for?",9,False,False,False,True,False,specific_entity_lookup,1,1,0,False
41,"How many teams are there in the Masters Champions League?",10,False,False,False,False,False,descriptive_general,1,3,2,True
42,"Which sport is followed by the majority of the UAE nationals as per the survey?",15,False,False,False,True,False,specific_entity_lookup,1,1,0,False
43,"How many centuries were made in 2015?",7,True,False,False,False,False,specific_entity_lookup,1,1,0,False
44,"What is the halfway-age of CMAs in Canada in 2015?",10,True,False,False,False,False,specific_entity_lookup,1,1,0,False
45,"Who won the 2015 ICC Cricket World Cup?",8,True,False,False,True,False,specific_entity_lookup,1,1,0,False
46,"How many baby boomers are retiring?",6,False,False,False,False,False,descriptive_general,1,1,0,False
47,"who is second in the list of players who score fastest fifty in T20?",14,True,False,False,False,False,specific_entity_lookup,1,1,0,False
48,"Which country does Irfan Pathan represent?",6,False,False,False,False,False,descriptive_general,1,1,0,False
49,"what is the second most considerable reason to buy hardcopy of book?",12,False,False,False,False,False,descriptive_general,1,2,1,True
50,"What  percent of students are receiving learning support in 2016?",10,True,False,False,False,False,specific_entity_lookup,1,1,0,False
51,"The books Luke and Romans are similar to which popular book of the Bible?",14,False,False,False,False,False,descriptive_general,1,1,0,False
52,"What is the population of Karachi in 2025?",8,True,False,False,False,False,specific_entity_lookup,1,1,0,False
53,"How many centuries did Tendulkar make between in 1989 and 1996?",11,True,False,False,False,False,specific_entity_lookup,1,1,0,False
54,"How many hours in total does it take to read Zech and Micah",13,False,False,False,False,False,descriptive_general,1,1,0,False
55,"Who qualified for the World Cup first, India or Egypt?",10,False,False,False,False,False,descriptive_general,1,1,0,False
56,"Who is the author of Cat's Cradle",7,False,False,False,False,False,descriptive_general,1,5,4,True
57,"At which center does scientists from all across the world work together?",12,False,False,False,False,False,descriptive_general,1,1,0,False
