qi,query,n_words,has_digit,has_at,has_color,has_quoted_or_acronym,has_identifier_noun,bucket,ceiling_rank,muvera_rank,rank_delta,ceiling_ok_muvera_lost
0,"Based on the graph, what is the impact of correcting for fspec not equal to 1 on the surface density trend?",21,True,False,False,False,False,specific_entity_lookup,1,1,0,False
1,"Based on the progression from JUL10 to FEB11Q, what trend can be observed in the thread participation?",17,True,False,False,False,False,specific_entity_lookup,1,1,0,False
2,"What physical phenomenon could the pattern of lines on the right side of the figure represent?",16,False,False,False,False,False,descriptive_general,2,4,2,False
3,"What is the approximate uv-distance where the measured real component starts to significantly deviate from the models shown?",18,False,False,False,False,False,descriptive_general,1,1,0,False
4,"In which subfigures does the average arrival flux (<v>) appear to have a direct relationship with betweenness?",17,False,False,False,False,False,descriptive_general,1,1,0,False
5,"Based on the figure, how does changing the parameter V from 0.1 to 0.2 affect the system's transition to disorder for N=200?",22,True,False,False,False,False,specific_entity_lookup,1,6,5,True
6,"What is the main variable being analyzed on the x-axis of these graphs?",13,False,False,False,False,False,descriptive_general,None,None,0,False
7,"Based on the graph, how does the von Neumann entropy of the Hawking radiation (\( S^{HR}_{vN} \)) behave as the parameter \( \Omega_0 \) increases after \( \Omega_{Page} \)?",29,True,False,False,True,False,specific_entity_lookup,1,1,0,False
8,"What does the figure primarily illustrate?",6,False,False,False,False,False,descriptive_general,None,None,0,False
9,"What role does asymmetrical feedback play in the context of Figure C?",12,False,False,False,False,False,descriptive_general,1,1,0,False
10,"Based on the figure, which statement is true about the relationship between \( (K')^T \) and \( V \)?",19,False,False,False,False,False,descriptive_general,1,1,0,False
11,"What can be inferred about the relationship between \( \delta(T) \) and r from the rightmost graph?",17,False,False,False,False,False,descriptive_general,1,1,0,False
12,"What feature of the graph allows for the comparison of different \(\eta\) values?",13,False,False,False,False,False,descriptive_general,3,None,8,False
13,"What inputs does the Monocular Reconstruction process require to generate an expression in the given system?",16,False,False,False,False,False,descriptive_general,1,1,0,False
14,"Which of the following best describes the behavior of the solid line function as E approaches 10?",17,True,False,False,False,False,specific_entity_lookup,2,1,-1,False
15,"What does the trend of \( Q_e / Q^{TM}_{lb} \) indicate about the system performance over the iterations?",18,False,False,False,True,False,specific_entity_lookup,1,1,0,False
16,"If 'S' represents species richness, what can be deduced about the biodiversity of the ecosystem as 'S' increases?",18,False,False,False,False,False,descriptive_general,1,1,0,False
17,"If the variable on the x-axis represents time, what can be inferred about the rate of change of the parameter over time?",22,False,False,False,False,False,descriptive_general,3,1,-2,False
18,"Based on the diagram, what is a possible consequence of the 'Network Down' state for the network's performance?",18,False,False,False,True,False,specific_entity_lookup,1,1,0,False
19,"Based on the magnetic hysteresis loops presented, what can be inferred about the anisotropy of the CoO/Pt multilayers?",18,False,False,False,False,False,descriptive_general,1,1,0,False
20,"What does the method described in section c) 'force matching without forces (this method)' primarily eliminate in the process of force matching?",22,False,False,False,False,False,descriptive_general,1,1,0,False
