qi,query,n_words,bucket,ceiling_rank,muvera_rank,rank_delta,ceiling_ok_muvera_lost
0,"Quelles étaient les principales composantes du bénéfice net par action d'une entreprise pour les années 2016 et 2017?",18,other,1,3,2,True
1,"Comment les activités opérationnelles, d'investissement et de financement affectent-elles la trésorerie d'une entreprise au cours de différentes périodes?",18,other,None,None,0,False
2,"Quels sont les champs typiques et leur signification dans une base de données d'exercices financiers d'une collectivité ?",18,other,4,9,5,False
3,"Comment a évolué le résultat net des sociétés consolidées dans le secteur aérien entre 2011 et 2012?",17,other,7,None,4,False
4,"Quel est l'impact des provisions sur le résultat d'exploitation dans l'industrie aéronautique récemment ?",14,other,2,4,2,False
5,"Combien de personnes sont employées à entretenir les chambres funéraires en Normandie ?",13,other,1,1,0,False
6,"quelle est la moyenne des dépenses par secteur en 2008 ?",11,other,None,None,0,False
7,"Quels sont les taux de croissance annuels moyens du transport routier de voyageurs pour la période 2013-2008 ?",18,other,2,3,1,False
8,"En 2011, quelle est la part des revenus de l'activité cargo de KLM qui concerne des destinations en Afrique ou au Moyen-Orient ou en Asie?",25,other,1,3,2,True
9,"Combien de trimestres le trafic intérieur est-il supérieur à 4,5 en 2020 ?",13,other,2,1,-1,False
10,"Quel est le revenu total du groupe KLM en cargo sur l'année financière 2011 seulement ? ",16,other,3,3,0,False
11,"Quel est l'écart relatif des coûts du socle fonctionnel entre les prévisions 2017 et la somme réalisé la même année ? ",21,other,1,2,1,True
12,"Quelle est la méthodologie de calcul du résultat exceptionnel comptable pour une entreprise?",13,other,3,2,-1,False
13,"Quelle est la fréquence des séances de conte destinées aux écoles maternelles et primaires tout au long de l'année ?",20,other,1,1,0,False
14,"Quels types de train circulent à la Gare de Bercy et à quelle vitesse?",14,other,3,2,-1,False
15,"Y a-t-il des projets de développement ou de fermeture pour de nouvelles installations de traitement des déchets en France récemment ?",21,other,4,2,-2,False
16,"Quels sont les chiffres de la population municipale pour les grandes villes françaises ?",14,other,3,3,0,False
17,"Quelle part de la surface des forêts Natura 2000 est domaniale?",11,other,1,4,3,True
18,"Quelle a été l'évolution du nombre moyen pondéré d'actions ordinaires en circulation entre 2005 et 2006 ?",17,other,None,None,0,False
19,"Quel était le CA des activités de construction au T1 2021 ?",12,other,2,2,0,False
20,"Quelles étaient les valeurs des actifs financiers disponibles à la vente au 31 décembre 2011 ?",16,other,4,None,7,False
21,"Quel impact ont les taux de change sur les équivalents de trésorerie d'une entreprise au fil du temps?",18,other,None,None,0,False
22,"Quel est l'impact d'une augmentation du taux d'actualisation sur les flux de trésorerie futurs?",14,other,1,2,1,True
23,"Quel est le volume des appels téléphoniques comparé à celui des courriers dans les procédures de rappel?",17,other,2,4,2,False
24,"Quels sont les revenus maximums pour être éligible au logement social en fonction du nombre de personnes dans le ménage à Paris ?",23,other,4,3,-1,False
25,"Comment a évolué le total de l'actif d'une société entre 2004 et 2005 selon les normes IFRS ?",18,other,2,1,-1,False
26,"Comment se répartissent les types de propriétés forestières dans les différents territoires en France?",14,other,4,1,-3,False
27,"Quelle est la différence de rémunération moyenne entre les catégories A, B et C dans la fonction publique en 2013 ?",21,other,1,1,0,False
28,"De combien étaient les ventes en millions d'euros en 2011 ?",11,other,1,None,10,True
29,"Combien d'habitant y avait il au total dans les 5 plus grandes villes de France en 2012 ?",18,other,2,1,-1,False
30,"Quelles ont été les variations du chiffre d'affaires des entreprises aéronautiques entre 2009 et 2011 ?",16,other,1,1,0,False
31,"Comment l'évolution des prix du carburant a-t-elle affecté les coûts d'exploitation dans l'industrie aérienne au cours de la dernière période ?",21,other,2,2,0,False
32,"Quelles informations financières de base peut-on obtenir sur la performance annuelle d'une entreprise sur plusieurs exercices?",16,other,None,None,0,False
33,"A combien s'élevaient les couts d'avions en millions d'euros ?",10,other,2,2,0,False
34,"Quel est le pourcentage du budget alloué à la culture par rapport aux autres postes de dépense dans les budgets publics?",21,other,2,2,0,False
35,"Quelles sont les méthodes de rappel les plus utilisées dans la communication avec les clients?",15,other,1,1,0,False
36,"Quels montants ont été consacrés au transport scolaire et aux contingents destinés aux SDIS en France au cours des années 2000?",21,other,1,3,2,True
37,"Quels sont les différents types de catégories de radios disponibles dans la région de la Roche Posay ?",18,other,4,4,0,False
38,"Quel est le montant des dotations aux amortissements et aux provisions ? ",12,other,1,5,4,True
39,"Quel est l'impact des variations de change sur les coûts opérationnels des compagnies aériennes ?",15,other,3,1,-2,False
40,"Quelle a été l'évolution du nombre d'actions de société entre le 1er janvier et la fin de l'exercice pour les années récentes?",22,other,2,1,-1,False
41,"Quelles étaient les valeurs des créances commerciales des entreprises à la fin de l'année 2005 ?",16,other,2,2,0,False
42,"Comment ont évolué les indices économiques des États-Unis et du Canada entre 2006 et 2008?",15,other,1,2,1,True
43,"Quelles sont les différentes méthodes de calcul des primes dans les entreprises françaises ?",14,other,2,None,9,False
44,"quel est la moyenne du nombre de voyage à motif professionnel en 2013 ?",14,other,1,2,1,True
45,"Quel est l'ordre de grandeur de l'indemnité de stage dans les coûts de fonctionnement d'un projet universitaire ?",18,other,1,2,1,True
46,"Combien d'unités ont été vendues dans le secteur de l'e-commerce au premier trimestre de 2016 ?",16,other,1,1,0,False
47,"Quels sont les chiffres de croissance des supermarchés 'SM Pão de Açúcar' au Brésil durant l'année fiscale de 2019 à 2020?",21,other,3,3,0,False
48,"Combien de courriels ont été envoyés ?",7,other,None,None,0,False
49,"Quel est le rôle des régions dans le financement des services d'incendie et de secours comparé à d'autres échelons locaux ?",21,other,4,7,3,False
50,"Comment l'effectif des patients et les données démographiques varient-ils entre les services de médecine et de chirurgie au sein des hôpitaux publics et privés?",24,other,1,3,2,True
51,"Quelles étaient les prévisions de dépenses pour la gouvernance et le pilotage en 2017 par rapport à 2016?",18,other,2,2,0,False
52,"Quelle a été l'évolution du coût de l'énergie pour les ménages en France dans les années 2000 ?",18,other,5,4,-1,False
53,"Quelle est la durée moyenne d'occupation d'un logement pour les propriétaires locataires par rapport à l'ensemble des occupants?",18,other,1,1,0,False
54,"quel est le total de passifs au 31 decembre 2011 ?",11,other,1,None,10,True
55,"Quelle est la part des opérations de crédit-bail dans les prêts et créances sur la clientèle en 2005 ?",19,other,1,2,1,True
56,"Quelle était la valeur des actifs non courants d'Air France en 2012 ?",13,other,1,2,1,True
57,"Quelles étaient les fourchettes de pourcentage pour les années 2006 à 2008 concernant un indicateur économique par zone géographique?",19,other,4,8,4,False
58,"Comment a évolué le nombre de cyclistes blessés dans les accidents de la route en France récemment?",17,other,3,3,0,False
59,"Combien de déchetteries publiques existent en France et quel tonnage de déchets y est traité ?",16,other,2,4,2,False
60,"Combien de TGV partent de la gare de Bercy ?",10,other,2,1,-1,False
61,"Quel a été le revenu d'affaires de KLM Cargo pour l'année financière 2010/2011 ?",14,other,4,2,-2,False
62,"combien de zones géographiques ont un excédent de fond de pension entre 4% et 6.9% en 2008?",17,other,None,None,0,False
63,"Comment puis-je trouver les informations de contact pour des lieux dans différents arrondissements parisiens ?",15,other,2,2,0,False
64,"Combien de zones distingue t on ?",7,other,1,None,10,True
65,"Quelles stations de radio peut-on écouter à Chatellerault et sur quelles fréquences MHz ?",14,other,4,4,0,False
66,"Quelle largeur du quai de Boulevard périphérique est affectée par le bruit ?",13,other,2,2,0,False
67,"Comment a évolué l'exécution des obligations du bailleur en termes de pourcentage en 2016 et 2017 ?",17,other,3,2,-1,False
68,"Quelles sont les différences dans la répartition d'une espèce entre le domaine Atlantique, Continental et Méditerranéen?",16,other,3,3,0,False
69,"Quelle région a contribué le plus au chiffre d'affaires de KLM Cargo lors de l'exercice financier 2010/2011 ?",18,other,2,5,3,False
70,"Quelle était la différence entre le nombre total d'exemplaires de monographies imprimés en 2012 et 2013 ?",17,other,2,1,-1,False
71,"Combien de trains TER et Intercités partent de la Gare de Bercy pendant la nuit?",15,other,4,4,0,False
72,"Y a-t-il des années où certaines entreprises de transport telles que ASF ou COFIROUTE n'ont pas enregistré de croissance ?",20,other,4,None,7,False
73,"Comment a évolué la marge opérationnelle des sociétés entre deux exercices fiscaux consécutifs?",13,other,None,None,0,False
74,"Quelle a été l'évolution des investissements spécifiques en millions d'euros entre 2010 et 2011?",14,other,4,1,-3,False
75,"Quel est le pourcentage moyen en 2012 sur les 13 universités parisiennes ?",13,other,1,1,0,False
76,"Quelles sont les statistiques récentes sur le nombre de livres acquis et prêtés par les bibliothèques publiques?",17,other,3,3,0,False
77,"Que valent les obligations en septembre 2006 ?",8,other,1,1,0,False
78,"Combien d'incitations au non respect des règle sur le repos hebdomadaire ont lieu avant les années 2000 ?",18,other,1,2,1,True
79,"Quel est l'impact financier prévu de la généralisation d'un régime sur le traitement des fichiers bénéficiaires et l'adressage des chèques?",20,other,3,1,-2,False
80,"Comment le taux de reprise moyen des programmes télévisés en France a-t-il changé de Mars 2009 à Mars 2010 ?",20,other,1,1,0,False
81,"Comment ont fluctué les dépenses totales pour les collèges en France de 1995 à 2011?",15,other,1,3,2,True
82,"Quel était le montant total des litiges en euros enregistré en juin 2017?",13,other,2,None,9,False
83,"Quel est le taux d'ESCOTA en 2012 ?",8,other,3,3,0,False
84,"Combien d'infractions liées aux excès de vitesse dans les transports exceptionnels ont été enregistrées annuellement entre 1993 et 2005 ?",20,other,1,2,1,True
85,"Comment est classé le bruit sur le Boulevard Périphérique par rapport à d'autres axes à Paris?",16,other,3,1,-2,False
86,"Comment varient les plafonds de ressources pour l'accès aux logements sociaux entre Paris, l'Île-de-France et les autres régions françaises ?",20,other,2,7,5,False
87,"Quelle part des revenus des compagnies aériennes provient de la vente d'équipements aéronautiques?",13,other,8,None,3,False
88,"Combien d'actions économiques y a-t-il au total ?",8,other,3,2,-1,False
89,"Sur l'année 2009-2010, de combien de % ont augmenté les droits de vol ?",14,other,4,8,4,False
90,"Quelle a été l'évolution du chiffre d'affaires international d'une entreprise spécifique entre 2011 et 2012 ?",16,other,1,1,0,False
91,"Quel impact ont eu les ajustements opérationnels sur les flux de trésorerie et les niveaux d'endettement des entreprises récemment?",19,other,None,None,0,False
92,"Quels sont les pourcentages de réparations locatives effectuées par les locataires en 2016 et 2017 ?",16,other,1,1,0,False
93,"Comment a varié le nombre de points de vente en Colombie pour le groupe 'Surtimax' au premier semestre de 2020?",20,other,2,3,1,False
94,"Quels sont les montants des obligations locatives de crédit-bail enregistrés en mars et septembre 2006 ?",16,other,2,6,4,False
95,"Quels sont les tarifs moyens pratiqués par les sociétés de transport pour différentes classes de véhicules?",16,other,1,2,1,True
96,"Combien d'actions ont été vendues entre décembre 2010 et mars 2011 ?",12,other,2,None,9,False
97,"Comment l'utilisation des différents types de rappels a-t-elle évolué d'une année à l'autre?",13,other,4,None,7,False
98,"Peut-on écouter France Culture à Chauvigny et si oui, sur quelle fréquence MHz ?",14,other,2,2,0,False
