qi,query,n_words,has_digit,has_at,has_color,has_quoted_or_acronym,has_identifier_noun,bucket,ceiling_rank,muvera_rank,rank_delta,ceiling_ok_muvera_lost
0,"What is the dividend payout in 2012?",7,True,False,False,False,False,specific_entity_lookup,1,1,0,False
1,"What is the name of the person in the CC field ?",12,False,False,False,True,False,specific_entity_lookup,2,9,7,False
2,"What is the personnel costs in the 4th year?",9,True,False,False,False,False,specific_entity_lookup,1,1,0,False
3,"What is the table number?",5,False,False,False,False,False,descriptive_general,5,None,6,False
4,"What is the Log-in No. ?",6,False,False,False,False,False,descriptive_general,1,1,0,False
5,"Which meeting is expected to have the highest ' attendance ' ?",12,False,False,False,True,False,specific_entity_lookup,1,1,0,False
6,"What is plotted along the x axis ?",8,False,False,False,False,False,descriptive_general,2,4,2,False
7,"What is the 10th 'title' in Contents ?",8,True,False,False,True,False,specific_entity_lookup,1,1,0,False
8,"What is No. 2-26 of subheading H ?",8,True,False,False,False,False,specific_entity_lookup,1,1,0,False
9,"What is the second subheading?",5,False,False,False,False,False,descriptive_general,8,None,3,False
10,"Which is the railways company?",5,False,False,False,False,False,descriptive_general,2,1,-1,False
11,"Under Private service how many patients were discharged in Neurology?",10,False,False,False,False,False,descriptive_general,1,1,0,False
12,"What is the brand name of the ITC personal care product advertised here?",13,False,False,False,True,False,specific_entity_lookup,1,2,1,True
13,"How many adult deaths were in 1978 as per 2nd quarter report ?",13,True,False,False,False,False,specific_entity_lookup,1,1,0,False
14,"What Tobacco brand of GPI is shown in the picture?",10,False,False,False,True,False,specific_entity_lookup,1,1,0,False
15,"What is the % Promoted Volume in EDLP stores?",9,False,False,False,True,False,specific_entity_lookup,1,1,0,False
16,"Which year was the meeting held?",6,False,False,False,False,False,descriptive_general,2,None,9,False
17,"What is the full form of AHA?",7,False,False,False,True,False,specific_entity_lookup,8,None,3,False
18,"Which year's Budget was this?",5,False,False,False,False,False,descriptive_general,1,1,0,False
19,"What is the order no. ?",6,False,False,False,False,False,descriptive_general,1,1,0,False
20,"What is the fullform of AAN?",6,False,False,False,True,False,specific_entity_lookup,1,1,0,False
21,"Which hospital is mentioned in Appendix V ?",8,False,False,False,False,False,descriptive_general,1,1,0,False
22,"When is the memorandum dated?",5,False,False,False,False,False,descriptive_general,1,5,4,True
23,"What is the table number?",5,False,False,False,False,False,descriptive_general,3,None,8,False
24,"Which year's report was this?",5,False,False,False,False,False,descriptive_general,None,None,0,False
25,"What is the date and time mentioned at the top of the page, outside of the Tabular representation?",18,False,False,False,False,False,descriptive_general,None,None,0,False
26,"What is the day and date of Meeting?",8,False,False,False,False,False,descriptive_general,None,None,0,False
27,"What is the name of the medical association?",8,False,False,False,False,False,descriptive_general,1,1,0,False
28,"What is the deadline date?",5,False,False,False,False,False,descriptive_general,1,1,0,False
29,"What is the title of the document ?",8,False,False,False,False,False,descriptive_general,None,None,0,False
30,"What is the number of live births for Alabama?",9,False,False,False,False,False,descriptive_general,1,1,0,False
31,"What is the ‘title’ of the plot?",7,False,False,False,False,False,descriptive_general,3,5,2,False
32,"What is the negotiated budget for Rutgers Med. Sch. given in the document?",13,False,False,False,False,False,descriptive_general,1,1,0,False
